
2025/03/12 (09:53:44) | ===> btop++ v.1.4.0
2025/03/12 (09:53:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (09:55:11) | ===> btop++ v.1.4.0
2025/03/12 (09:55:11) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/12 (09:55:13) | WARNING: Failed to join _runner thread on exit!

2025/03/12 (09:55:33) | ===> btop++ v.1.4.0
2025/03/12 (09:55:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (11:28:11) | ===> btop++ v.1.4.0
2025/03/12 (11:28:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (17:10:38) | ===> btop++ v.1.4.0
2025/03/12 (17:10:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (10:32:00) | ===> btop++ v.1.4.0
2025/03/18 (10:32:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (14:40:26) | ===> btop++ v.1.4.0
2025/03/18 (14:40:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (10:59:31) | ===> btop++ v.1.4.0
2025/03/20 (10:59:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (14:21:37) | ===> btop++ v.1.4.0
2025/03/20 (14:21:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (08:31:04) | ===> btop++ v.1.4.0
2025/03/24 (08:31:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (08:32:27) | ===> btop++ v.1.4.0
2025/03/24 (08:32:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (09:34:39) | ===> btop++ v.1.4.0
2025/03/26 (09:34:39) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/09 (09:45:23) | WARNING: Failed to join _runner thread on exit!

2025/04/09 (09:48:16) | ===> btop++ v.1.4.0
2025/04/09 (09:48:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/09 (10:20:18) | ===> btop++ v.1.4.0
2025/04/09 (10:20:18) | WARNING: Intel GPU: Failed to initialize PMU
