1password 8.10.60-27
1password-cli 2.30.3-1
7zip 24.09-3
aalib 1.4rc5-18
abseil-cpp 20240722.1-1
accountsservice 23.13.9-2
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.2.7-1
alsa-lib 1.2.13-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
alsa-utils 1.2.13-2
aom 3.12.0-1
apparmor 4.0.3-3
appstream 1.0.4-1
appstream-glib 0.8.3-2
aquamarine 0.7.2-1
arc-gtk-theme 20221218-2
archlinux-keyring 20250123-1
argon2 20190702-6
at-spi2-core 2.54.1-1
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.0.3-1
autoconf 2.72-1
autoconf-archive 1:2024.10.16-2
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
aws-cli 1.37.3-1
base 3-2
base-devel 1-2
bash 5.2.037-1
bat 0.25.0-4
binutils 2.44-1
bison 3.8.2-8
blas 3.12.1-2
blueman 2.4.4-1
bluez 5.79-1
bluez-libs 5.79-1
bluez-utils 5.79-1
bolt 0.9.8-1
boost 1.87.0-3
boost-libs 1.87.0-3
brave-bin 1:1.75.175-1
brightnessctl 0.5.1-3
brotli 1.1.0-3
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.4-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.108-1
ca-certificates-utils 20240618-1
cairo 1.18.2-2
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
capstone 5.0.5-1
cblas 3.12.1-2
cdparanoia 10.2-9
cdrtools 3.02a09-6
cfitsio 1:4.5.0-1
chafa 1.14.5-1
cifs-utils 7.2-1
clang 19.1.7-1
cliphist 1:0.6.1-1
clipman 1.6.4-1
clipman-debug 1.6.4-1
cloc 2.04-1
clucene 2.3.3.4-15
colord 1.4.7-2
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
compiler-rt 19.1.7-1
confuse 3.3-4
containerd 2.0.2-1
coreutils 9.6-2
cpupower-gui 1.0.0-5
cracklib 2.10.3-1
cronie 1.7.2-1
cryptsetup 2.7.5-2
cups-pk-helper 0.2.7-2
curl 8.12.1-1
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.0-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.112-4
dbus-units 36-4
dconf 0.40.0-3
ddcci-driver-linux-dkms 0.4.5-1
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.30-1
dhcpcd 10.2.0-1
diffutils 3.10-1
discord 0.0.86-1
dkms 3.1.5-1
docbook-xml 4.5-10
docbook-xsl 1.79.2-9
docker 1:27.5.1-1
docker-compose 2.33.0-1
double-conversion 3.3.1-1
dtc 1.7.2-3
duktape 2.7.0-7
dunst 1.12.1-1
e2fsprogs 1.47.2-1
easyeffects 7.2.3-2
editorconfig-core-c 0.12.9-1
edk2-ovmf 202411-1
efibootmgr 18-3
efivar 39-1
electron33 33.4.1-2
enchant 2.8.2-2
entr 5.7-1
evhz-git r30.b59b2d7-1
evhz-git-debug r30.b59b2d7-1
exempi 2.6.5-1
exiv2 0.28.4-1
exo 4.20.0-2
expat 2.6.4-1
eza 0.20.22-1
fakeroot 1.37-1
fastfetch 2.37.0-1
fd 10.2.0-1
